date;amount
"1990-01-02";"297.37"
"1990-01-03";"297.32"
"1990-01-04";"297.65"
"1990-01-05";"297.66"
"1990-01-08";"298.18"
"1990-01-09";"297.82"
"1990-01-10";"298.11"
"1990-01-11";"297.86"
"1990-01-12";"297.27"
"1990-01-15";"297.10"
"1990-01-16";"293.90"
"1990-01-17";"293.74"
"1990-01-18";"294.78"
"1990-01-19";"296.84"
"1990-01-22";"296.54"
"1990-01-23";"296.66"
"1990-01-24";"296.93"
"1990-01-25";"297.13"
"1990-01-26";"296.79"
"1990-01-29";"296.96"
"1990-01-30";"296.64"
"1990-01-31";"295.40"
"1990-02-01";"295.58"
"1990-02-02";"295.03"
"1990-02-05";"295.29"
"1990-02-06";"294.98"
"1990-02-07";"294.59"
"1990-02-08";"293.08"
"1990-02-09";"290.61"
"1990-02-12";"287.86"
"1990-02-13";"282.94"
"1990-02-14";"280.88"
"1990-02-15";"285.98"
"1990-02-16";"288.80"
"1990-02-19";"293.51"
"1990-02-20";"294.59"
"1990-02-21";"298.20"
"1990-02-22";"298.84"
"1990-02-23";"294.06"
"1990-02-26";"293.72"
"1990-02-27";"295.24"
"1990-02-28";"295.48"
"1990-03-01";"295.18"
"1990-03-02";"294.05"
"1990-03-05";"294.38"
"1990-03-06";"294.68"
"1990-03-07";"294.93"
"1990-03-08";"294.63"
"1990-03-09";"294.31"
"1990-03-12";"295.15"
"1990-03-13";"295.31"
"1990-03-14";"295.11"
"1990-03-15";"294.85"
"1990-03-16";"294.85"
"1990-03-19";"295.51"
"1990-03-20";"295.47"
"1990-03-21";"297.75"
"1990-03-22";"299.73"
"1990-03-23";"300.94"
"1990-03-26";"301.73"
"1990-03-27";"300.77"
"1990-03-28";"301.42"
"1990-03-29";"298.20"
"1990-03-30";"297.64"
"1990-04-02";"296.98"
"1990-04-03";"296.07"
"1990-04-04";"296.54"
"1990-04-05";"296.71"
"1990-04-06";"296.37"
"1990-04-09";"296.49"
"1990-04-10";"295.88"
"1990-04-11";"295.05"
"1990-04-12";"294.63"
"1990-04-16";"295.07"
"1990-04-17";"295.66"
"1990-04-18";"295.92"
"1990-04-19";"296.84"
"1990-04-20";"297.30"
"1990-04-23";"297.04"
"1990-04-24";"297.13"
"1990-04-25";"297.23"
"1990-04-26";"297.15"
"1990-04-27";"297.03"
"1990-04-30";"297.14"
"1990-05-02";"296.92"
"1990-05-03";"296.73"
"1990-05-04";"295.83"
"1990-05-07";"295.81"
"1990-05-08";"295.75"
"1990-05-09";"295.77"
"1990-05-10";"296.42"
"1990-05-11";"296.23"
"1990-05-14";"296.50"
"1990-05-15";"297.41"
"1990-05-16";"297.88"
"1990-05-17";"298.37"
"1990-05-18";"297.55"
"1990-05-22";"297.59"
"1990-05-23";"297.76"
"1990-05-24";"297.80"
"1990-05-25";"297.44"
"1990-05-28";"297.25"
"1990-05-29";"297.13"
"1990-05-30";"297.14"
"1990-05-31";"297.11"
"1990-06-01";"296.56"
"1990-06-04";"298.06"
"1990-06-05";"298.99"
"1990-06-06";"299.03"
"1990-06-07";"298.21"
"1990-06-08";"298.03"
"1990-06-11";"297.87"
"1990-06-12";"297.05"
"1990-06-13";"295.77"
"1990-06-15";"296.44"
"1990-06-18";"296.56"
"1990-06-19";"295.51"
"1990-06-20";"295.34"
"1990-06-21";"295.53"
"1990-06-22";"295.15"
"1990-06-25";"295.51"
"1990-06-26";"295.56"
"1990-06-27";"296.55"
"1990-06-28";"297.27"
"1990-07-02";"297.07"
"1990-07-03";"297.00"
"1990-07-04";"295.90"
"1990-07-05";"295.53"
"1990-07-06";"295.65"
"1990-07-09";"297.62"
"1990-07-10";"297.64"
"1990-07-11";"296.27"
"1990-07-12";"295.57"
"1990-07-13";"295.14"
"1990-07-16";"295.69"
"1990-07-17";"295.97"
"1990-07-18";"296.07"
"1990-07-19";"296.24"
"1990-07-20";"296.32"
"1990-07-23";"296.99"
"1990-07-24";"297.09"
"1990-07-25";"297.28"
"1990-07-26";"297.49"
"1990-07-27";"297.87"
"1990-07-30";"298.04"
"1990-07-31";"298.20"
"1990-08-01";"298.48"
"1990-08-02";"298.67"
"1990-08-03";"298.81"
"1990-08-06";"299.42"
"1990-08-07";"299.54"
"1990-08-08";"299.75"
"1990-08-09";"299.89"
"1990-08-10";"300.01"
"1990-08-13";"300.52"
"1990-08-14";"300.63"
"1990-08-16";"300.94"
"1990-08-17";"300.99"
"1990-08-20";"301.47"
"1990-08-21";"302.98"
"1990-08-22";"305.46"
"1990-08-23";"311.69"
"1990-08-24";"315.29"
"1990-08-27";"310.70"
"1990-08-28";"310.66"
"1990-08-29";"308.92"
"1990-08-30";"306.67"
"1990-08-31";"304.21"
"1990-09-03";"304.46"
"1990-09-04";"309.71"
"1990-09-05";"309.37"
"1990-09-06";"311.45"
"1990-09-07";"311.52"
"1990-09-10";"312.75"
"1990-09-12";"311.20"
"1990-09-13";"308.30"
"1990-09-14";"306.38"
"1990-09-17";"305.84"
"1990-09-20";"306.39"
"1990-09-21";"306.75"
"1990-09-24";"307.59"
"1990-09-25";"307.75"
"1990-09-26";"307.82"
"1990-09-27";"307.35"
"1990-09-28";"307.31"
"1990-10-01";"307.58"
"1990-10-02";"307.90"
"1990-10-03";"308.04"
"1990-10-04";"308.18"
"1990-10-05";"308.21"
"1990-10-08";"308.60"
"1990-10-09";"309.23"
"1990-10-10";"309.56"
"1990-10-11";"309.78"
"1990-10-15";"311.53"
"1990-10-16";"312.15"
"1990-10-17";"312.61"
"1990-10-18";"313.02"
"1990-10-19";"313.25"
"1990-10-22";"314.90"
"1990-10-23";"315.40"
"1990-10-24";"315.54"
"1990-10-25";"316.48"
"1990-10-26";"316.76"
"1990-10-29";"318.15"
"1990-10-30";"318.71"
"1990-10-31";"319.19"
"1990-11-02";"321.77"
"1990-11-05";"324.70"
"1990-11-06";"325.43"
"1990-11-07";"323.73"
"1990-11-08";"324.36"
"1990-11-09";"324.14"
"1990-11-12";"324.89"
"1990-11-13";"325.03"
"1990-11-14";"325.33"
"1990-11-15";"325.90"
"1990-11-16";"326.02"
"1990-11-19";"327.18"
"1990-11-20";"327.39"
"1990-11-21";"327.87"
"1990-11-22";"328.23"
"1990-11-23";"328.51"
"1990-11-26";"330.07"
"1990-11-27";"330.20"
"1990-11-28";"331.11"
"1990-11-29";"331.11"
"1990-11-30";"331.19"
"1990-12-03";"332.26"
"1990-12-04";"332.84"
"1990-12-05";"333.15"
"1990-12-06";"333.47"
"1990-12-07";"333.82"
"1990-12-10";"334.78"
"1990-12-11";"334.78"
"1990-12-12";"334.97"
"1990-12-13";"335.00"
"1990-12-14";"334.93"
"1990-12-17";"335.27"
"1990-12-18";"335.32"
"1990-12-19";"335.39"
"1990-12-20";"335.55"
"1990-12-21";"335.54"
"1990-12-24";"335.99"
"1990-12-26";"336.91"
"1990-12-27";"337.75"
"1990-12-28";"336.86"
"1991-01-02";"337.09"
"1991-01-03";"336.98"
"1991-01-04";"336.67"
"1991-01-07";"336.77"
"1991-01-08";"336.87"
"1991-01-09";"336.83"
"1991-01-10";"336.88"
"1991-01-11";"336.96"
"1991-01-14";"337.05"
"1991-01-15";"337.16"
"1991-01-16";"337.65"
"1991-01-17";"337.77"
"1991-01-18";"337.76"
"1991-01-21";"337.89"
"1991-01-22";"337.47"
"1991-01-23";"337.46"
"1991-01-24";"337.25"
"1991-01-25";"337.19"
"1991-01-28";"337.38"
"1991-01-29";"337.29"
"1991-01-30";"337.32"
"1991-01-31";"337.38"
"1991-02-01";"337.34"
"1991-02-04";"337.41"
"1991-02-05";"337.39"
"1991-02-06";"337.40"
"1991-02-07";"337.39"
"1991-02-08";"337.38"
"1991-02-11";"337.47"
"1991-02-12";"337.50"
"1991-02-13";"337.48"
"1991-02-14";"337.49"
"1991-02-15";"337.44"
"1991-02-18";"337.74"
"1991-02-19";"337.58"
"1991-02-20";"337.62"
"1991-02-21";"337.60"
"1991-02-22";"337.57"
"1991-02-25";"337.72"
"1991-02-26";"337.65"
"1991-02-27";"337.68"
"1991-02-28";"337.67"
"1991-03-01";"337.66"
"1991-03-04";"338.33"
"1991-03-05";"339.07"
"1991-03-06";"339.65"
"1991-03-07";"339.11"
"1991-03-08";"338.82"
"1991-03-11";"338.99"
"1991-03-12";"338.98"
"1991-03-13";"338.59"
"1991-03-14";"338.60"
"1991-03-15";"338.67"
"1991-03-18";"338.89"
"1991-03-19";"339.52"
"1991-03-20";"339.89"
"1991-03-21";"340.36"
"1991-03-22";"341.80"
"1991-03-25";"343.15"
"1991-03-26";"345.43"
"1991-03-27";"344.87"
"1991-03-28";"344.38"
"1991-04-01";"344.10"
"1991-04-02";"343.98"
"1991-04-03";"342.84"
"1991-04-04";"340.31"
"1991-04-05";"341.68"
"1991-04-08";"343.26"
"1991-04-09";"341.75"
"1991-04-10";"339.30"
"1991-04-11";"338.56"
"1991-04-12";"339.08"
"1991-04-15";"340.05"
"1991-04-16";"340.75"
"1991-04-17";"339.83"
"1991-04-18";"339.38"
"1991-04-19";"338.91"
"1991-04-22";"338.75"
"1991-04-23";"339.42"
"1991-04-24";"339.11"
"1991-04-25";"339.05"
"1991-04-26";"338.38"
"1991-04-29";"338.86"
"1991-04-30";"338.90"
"1991-05-02";"337.44"
"1991-05-03";"337.33"
"1991-05-06";"337.41"
"1991-05-07";"337.82"
"1991-05-08";"337.66"
"1991-05-09";"337.92"
